Sentence,Emotion
넌 그런 여자가 아니길 바랬어. ,슬픔
내일 진로 상담회가 있는데 일손이 좀 부족한 것 같더군……. 네가 일을 도와 줬으면 좋겠군.,중립
바깥 기온 30도~내 방 온도도 30도..,혐오
약에 취해 광란의 질주~~쾅~~에라이 무책임한 놈,분노
손목시계조차 없는놈들이 손목조심이라 떠들기는 니들 손가락조심이나해라 초딩들아,분노
와 요번칼럼 지렸다,놀람
"와, 대단한 사람이다...",행복
뺑소니범들 존나많네,놀람
박근혜랑 공모없었으면 니가 다 독박이야 이녀나ㅋㅋㅋ,분노
이제 한달 학원비 200만원 돌파하겠네,슬픔
